date,ticker,sw_posts,tw_posts,sw_comments,tw_comments,sw_likes,tw_likes,sw_impressions,tw_impressions,sw_sent,tw_sent,datetime
2025-05-09 05:00:00,TSLA,1,2,0,0,1,2,82,275,0.5,0.48804,2025-05-09 05:00:00
2025-05-09 04:00:00,TSLA,14,18,1,16,14,104,21900,308318,0.5,0.61415,2025-05-09 04:00:00
2025-05-09 03:00:00,TSLA,8,10,3,20,16,54,19532,84229,0.58,0.58252,2025-05-09 03:00:00
2025-05-09 02:00:00,TSLA,5,17,3,37,13,314,613,7857,0.5364,0.60088,2025-05-09 02:00:00
2025-05-09 01:00:00,TSLA,18,47,2,48,30,1523,25590,1592584,0.51456,0.54099,2025-05-09 01:00:00
2025-05-09 00:00:00,TSLA,28,70,13,92,62,4466,71797,5045151,0.56629,0.54574,2025-05-09 00:00:00
2025-05-08 23:00:00,TSLA,31,55,18,947,52,2007,13770,178885,0.47029,0.45936,2025-05-08 23:00:00
2025-05-08 22:00:00,TSLA,59,99,18,1382,93,5965,64073,7932865,0.53369,0.5618,2025-05-08 22:00:00
2025-05-08 21:00:00,TSLA,50,71,12,710,44,1565,46359,588607,0.54922,0.66232,2025-05-08 21:00:00
2025-05-08 20:00:00,TSLA,31,102,11,721,59,7961,71030,6296901,0.51077,0.57098,2025-05-08 20:00:00
2025-05-08 19:00:00,TSLA,50,157,20,1206,113,22571,23911,2013364,0.5595,0.54268,2025-05-08 19:00:00
2025-05-08 18:00:00,TSLA,68,191,22,1997,83,18160,26895,4323119,0.52453,0.54482,2025-05-08 18:00:00
2025-05-08 17:00:00,TSLA,68,151,33,4370,144,19679,113945,13742013,0.53793,0.60228,2025-05-08 17:00:00
2025-05-08 16:00:00,TSLA,157,303,38,10701,162,38012,50021,16495495,0.52962,0.52029,2025-05-08 16:00:00
2025-05-08 15:00:00,TSLA,168,279,23,6293,140,24935,208035,79958052,0.53529,0.51741,2025-05-08 15:00:00
2025-05-08 14:00:00,TSLA,169,203,38,4170,134,9096,58042,15735492,0.53733,0.53454,2025-05-08 14:00:00
2025-05-08 13:00:00,TSLA,191,663,39,15830,172,158286,131517,29068734,0.5292,0.5826,2025-05-08 13:00:00
2025-05-08 12:00:00,TSLA,232,773,36,9340,140,144887,315093,318359238,0.535,0.51727,2025-05-08 12:00:00
2025-05-08 11:00:00,TSLA,188,469,26,12455,204,97928,95674,28319259,0.5367,0.51799,2025-05-08 11:00:00
2025-05-08 10:00:00,TSLA,226,496,34,18048,175,77765,382989,176252257,0.54322,0.53602,2025-05-08 10:00:00
2025-05-08 09:00:00,TSLA,95,159,33,3498,132,13517,122645,17270458,0.54581,0.5667,2025-05-08 09:00:00
2025-05-08 08:00:00,TSLA,59,84,26,1592,96,4005,19947,1969971,0.52012,0.61466,2025-05-08 08:00:00
2025-05-08 07:00:00,TSLA,37,49,28,693,54,1147,48144,2025814,0.47816,0.47215,2025-05-08 07:00:00
2025-05-08 06:00:00,TSLA,33,72,11,657,48,3067,54063,5011164,0.47858,0.54237,2025-05-08 06:00:00
2025-05-08 05:00:00,TSLA,21,40,5,177,25,756,4886,49138,0.56671,0.55425,2025-05-08 05:00:00
2025-05-08 04:00:00,TSLA,10,18,3,38,8,101,2558,58532,0.5683,0.59646,2025-05-08 04:00:00
2025-05-08 03:00:00,TSLA,9,11,2,10,15,50,133644,843035,0.58567,0.5863,2025-05-08 03:00:00
2025-05-08 02:00:00,TSLA,17,18,4,80,24,90,24506,26094,0.51953,0.50783,2025-05-08 02:00:00
2025-05-08 01:00:00,TSLA,30,98,16,339,42,5453,5848,312680,0.5484,0.53146,2025-05-08 01:00:00
2025-05-08 00:00:00,TSLA,57,140,13,1782,105,14795,97356,15323886,0.52974,0.51069,2025-05-08 00:00:00
2025-05-07 23:00:00,TSLA,65,152,19,2321,93,13524,12091,1483382,0.55285,0.61669,2025-05-07 23:00:00
2025-05-07 22:00:00,TSLA,82,134,34,2774,138,11543,67285,12371417,0.54113,0.56701,2025-05-07 22:00:00
2025-05-07 21:00:00,TSLA,84,129,20,851,167,12238,21030,2862331,0.54993,0.53009,2025-05-07 21:00:00
2025-05-07 20:00:00,TSLA,35,45,8,155,41,755,15447,938264,0.52706,0.52335,2025-05-07 20:00:00
2025-05-07 19:00:00,TSLA,54,166,21,3729,83,17235,95449,10596231,0.54181,0.52484,2025-05-07 19:00:00
2025-05-07 18:00:00,TSLA,48,142,32,4106,127,21677,10710,426296,0.52385,0.62864,2025-05-07 18:00:00
2025-05-07 17:00:00,TSLA,47,123,22,2587,115,15215,171782,13519891,0.54613,0.52734,2025-05-07 17:00:00
2025-05-07 16:00:00,TSLA,162,332,36,5994,185,51137,108271,21362447,0.53112,0.51466,2025-05-07 16:00:00
2025-05-07 15:00:00,TSLA,207,368,24,5096,132,33983,117748,38730303,0.52685,0.54551,2025-05-07 15:00:00
2025-05-07 14:00:00,TSLA,196,297,36,6901,179,29673,409654,143839008,0.52982,0.62352,2025-05-07 14:00:00
2025-05-07 13:00:00,TSLA,144,155,30,4639,163,5083,217351,38428115,0.51776,0.50951,2025-05-07 13:00:00
2025-05-07 12:00:00,TSLA,180,589,32,19708,181,140490,184706,155492020,0.53296,0.51482,2025-05-07 12:00:00
2025-05-07 11:00:00,TSLA,194,608,33,17626,158,121881,104860,70945660,0.52918,0.62386,2025-05-07 11:00:00
2025-05-07 10:00:00,TSLA,174,405,27,7633,154,59421,111278,18250021,0.52496,0.57561,2025-05-07 10:00:00
2025-05-07 09:00:00,TSLA,100,203,34,5235,104,17393,98329,14575953,0.5254,0.52103,2025-05-07 09:00:00
2025-05-07 08:00:00,TSLA,73,112,21,2561,71,4485,248327,19082592,0.52204,0.50412,2025-05-07 08:00:00
2025-05-07 07:00:00,TSLA,54,69,18,278,45,1256,64591,4371067,0.52319,0.51531,2025-05-07 07:00:00
2025-05-07 06:00:00,TSLA,25,30,16,471,35,348,21164,417104,0.51988,0.51517,2025-05-07 06:00:00
2025-05-07 05:00:00,TSLA,26,76,9,552,41,3740,222743,20791643,0.52273,0.61483,2025-05-07 05:00:00
2025-05-07 04:00:00,TSLA,11,29,5,125,14,437,4506,14606,0.552,0.53465,2025-05-07 04:00:00
2025-05-07 03:00:00,TSLA,6,15,2,20,10,155,18781,341692,0.51467,0.55624,2025-05-07 03:00:00
2025-05-07 02:00:00,TSLA,14,15,1,15,21,48,2146,10747,0.5525,0.54117,2025-05-07 02:00:00
2025-05-07 01:00:00,TSLA,26,89,3,207,42,5165,32780,3826631,0.57669,0.60325,2025-05-07 01:00:00
2025-05-07 00:00:00,TSLA,35,108,21,1887,83,11238,32911,1044310,0.50194,0.59978,2025-05-07 00:00:00
2025-05-06 23:00:00,TSLA,49,112,22,1582,73,7648,92555,9637473,0.52992,0.58775,2025-05-06 23:00:00
2025-05-06 22:00:00,TSLA,50,108,18,745,118,11282,60041,3911221,0.55374,0.53616,2025-05-06 22:00:00
2025-05-06 21:00:00,TSLA,82,122,30,3828,161,10668,10291,1476987,0.52949,0.51062,2025-05-06 21:00:00
2025-05-06 20:00:00,TSLA,89,124,28,3044,158,9464,194127,20697352,0.51729,0.57462,2025-05-06 20:00:00
2025-05-06 19:00:00,TSLA,139,162,41,6174,214,10477,88941,16553702,0.53024,0.52261,2025-05-06 19:00:00
2025-05-06 18:00:00,TSLA,147,425,37,11880,233,116794,59667,11405423,0.53746,0.6407,2025-05-06 18:00:00
2025-05-06 17:00:00,TSLA,0,0,0,0,0,0,0,0,0.5,0.5,2025-05-06 17:00:00
2025-05-06 17:00:00,TSLA,73,202,0,0,0,0,0,0,0.5051,0.50052,2025-05-06 17:00:00
2025-05-06 16:00:00,TSLA,116,284,24,4169,144,41065,32178,3798361,0.53614,0.58582,2025-05-06 16:00:00
